Timestamp,State,Lat,Lon,Alt,Target_Conf
2026-02-13 15:07:31.036930,TAKEOFF,51.4234177,-2.6715506,0.013,0.0
2026-02-13 15:07:33.064498,TAKEOFF,51.4234177,-2.6715504,2.503,0.0
2026-02-13 15:07:34.023309,TAKEOFF,51.4234177,-2.6715503,4.985,0.0
2026-02-13 15:07:37.074130,TAKEOFF,51.4234177,-2.6715502,12.721,0.0
2026-02-13 15:07:39.037533,TAKEOFF,51.4234177,-2.6715503,17.468,0.0
2026-02-13 15:07:42.009075,TAKEOFF,51.4234177,-2.6715501,24.944,0.0
2026-02-13 15:07:44.086727,TRANSIT_TO_SEARCH,51.4234177,-2.67155,28.591,0.0
2026-02-13 15:07:46.082784,TRANSIT_TO_SEARCH,51.4234214,-2.6714964,29.465,0.0
2026-02-13 15:07:49.055815,TRANSIT_TO_SEARCH,51.4234429,-2.6711901,29.602,0.0
2026-02-13 15:07:53.064712,TRANSIT_TO_SEARCH,51.4234829,-2.6706244,29.786,0.0
2026-02-13 15:07:56.063341,TRANSIT_TO_SEARCH,51.4235135,-2.6701924,29.885,0.0
2026-02-13 15:07:59.006726,TRANSIT_TO_SEARCH,51.423544,-2.6697605,29.961,0.0
2026-02-13 15:08:01.074712,TRANSIT_TO_SEARCH,51.4235631,-2.6694882,29.999,0.0
2026-02-13 15:08:03.065233,TRANSIT_TO_SEARCH,51.4235755,-2.669312,29.996,0.0
2026-02-13 15:08:06.052732,SEARCH,51.4235845,-2.6692241,30.0,0.0
2026-02-13 15:08:08.067290,SEARCH,51.4236554,-2.6691937,29.996,0.0
2026-02-13 15:08:12.092845,SEARCH,51.4239316,-2.6690711,29.996,0.0
2026-02-13 15:08:14.077318,SEARCH,51.4240231,-2.6690301,29.991,0.0
2026-02-13 15:08:16.092613,SEARCH,51.4240552,-2.6690151,30.0,0.0
2026-02-13 15:08:18.064439,SEARCH,51.4240843,-2.6689414,30.0,0.0
2026-02-13 15:08:20.083718,SEARCH,51.4241446,-2.6687872,29.997,0.0
2026-02-13 15:08:27.008500,SEARCH,51.4241321,-2.6686771,30.005,0.0
2026-02-13 15:08:30.069318,SEARCH,51.423904,-2.6687844,30.004,0.0
2026-02-13 15:08:31.056251,SEARCH,51.4238198,-2.6688239,30.001,0.0
2026-02-13 15:08:32.001998,SEARCH,51.4237347,-2.6688637,30.0,0.0
2026-02-13 15:08:34.054489,SEARCH,51.423563,-2.6689437,29.999,0.0
2026-02-13 15:08:36.096681,SEARCH,51.4233821,-2.6690278,29.999,0.0
2026-02-13 15:08:38.085234,SEARCH,51.4232099,-2.6691079,29.999,0.0
2026-02-13 15:08:39.004275,SEARCH,51.4231417,-2.6691396,30.006,0.0
2026-02-13 15:08:41.072774,SEARCH,51.422988,-2.6692114,29.999,0.0
2026-02-13 15:08:43.049176,SEARCH,51.4228909,-2.6692567,29.991,0.0
2026-02-13 15:08:45.064627,SEARCH,51.4228485,-2.6692763,29.999,0.0
2026-02-13 15:08:47.075560,SEARCH,51.4228434,-2.6692449,29.998,0.0
2026-02-13 15:08:48.024678,SEARCH,51.4228347,-2.6691822,29.999,0.0
2026-02-13 15:08:51.050143,SEARCH,51.4228072,-2.6690063,29.992,0.0
2026-02-13 15:08:53.049111,SEARCH,51.4228165,-2.6689808,29.997,0.0
2026-02-13 15:08:56.063220,SEARCH,51.4229749,-2.66891,29.997,0.0
2026-02-13 15:09:01.080697,SEARCH,51.4233956,-2.6687168,30.0,0.0
2026-02-13 15:09:07.021677,CENTERING,51.4238077,-2.6685144,29.995,0.0
2026-02-13 15:09:15.059563,DESCENDING,51.4236171,-2.6686226,29.897,0.7001034021377563
2026-02-13 15:09:18.054044,DESCENDING,51.4236192,-2.6686209,25.851,0.6527289152145386
2026-02-13 15:09:22.073918,DESCENDING,51.4236209,-2.6686202,19.875,0.8817158937454224
2026-02-13 15:09:25.094251,VERIFY,51.4236217,-2.6686201,15.671,0.9128943085670471
2026-02-13 15:09:26.050720,VERIFY,51.4236216,-2.6686206,15.078,0.8901406526565552
2026-02-13 15:09:30.053817,VERIFY,51.4236217,-2.6686207,15.002,0.9063909649848938
2026-02-13 15:09:34.082743,VERIFY,51.4236217,-2.6686207,14.997,0.9047873616218567
2026-02-13 15:09:37.003143,VERIFY,51.4236217,-2.6686207,14.996,0.9056332111358643
2026-02-13 15:09:40.056759,VERIFY,51.4236217,-2.6686207,14.996,0.906407356262207
2026-02-13 15:09:42.094788,VERIFY,51.4236217,-2.6686207,14.997,0.9051089286804199
2026-02-13 15:09:45.042312,VERIFY,51.4236217,-2.6686207,14.999,0.9051380753517151
2026-02-13 15:09:47.095606,VERIFY,51.4236217,-2.6686207,14.999,0.9047555327415466
2026-02-13 15:09:51.055295,VERIFY,51.4236217,-2.6686207,14.999,0.9072304368019104
2026-02-13 15:09:56.039907,VERIFY,51.4236217,-2.6686208,14.999,0.907328724861145
2026-02-13 15:09:58.060845,VERIFY,51.4236217,-2.6686208,14.999,0.906363308429718
2026-02-13 15:10:01.083766,VERIFY,51.4236217,-2.6686208,14.999,0.9074392914772034
